Token	Corpus	Time	Text	Genre	Type	Whole_Genitive	Possessor	Possessum	Possessor_Length	Possessum_Length
ba02.0081.02	Brown	1960	A02	Press	of	the recommendation of Supt. Chester O. Strickland	Supt. Chester O. Strickland	the recommendation	4	2
ba02.0084.02	Brown	1960	A02	Press	of	the most serious causes of family breakdown , desertion , and ADC dependency	family breakdown, desertion, and ADC dependency	the most serious causes	6	4
ba02.0085.01	Brown	1960	A02	Press	of	the monthly cost of ADC	ADC	the monthly cost	1	3
ba02.0090.01	Brown	1960	A02	Press	of	the causes and prevention of dependency and illegitimacy	dependency and illegitimacy	the causes and prevention	3	4
ba03.0013.03	Brown	1960	A03	Press	of	the first drafts of portions of the address	portions of the address	the first drafts	4	3
ba03.0013.05	Brown	1960	A03	Press	of	the help of White House aids in Washington with whom he talked by telephone	White House aids in Washington with whom he talked by telephone	the help	8	2
ba03.0016.03	Brown	1960	A03	Press	s	Russia's demands and proposals for the city	Russia's	demands and proposals for the city	1	6
ba03.0017.01	Brown	1960	A03	Press	of	the investigation of the Nov. 8 election	the Nov. 8 election	the investigation	4	2
ba03.0018.02	Brown	1960	A03	Press	of	the guilt or innocence of the 50 persons	the 50 persons	the guilt or innocence	3	4
ba03.0019.02	Brown	1960	A03	Press	of	the legal rights of citizens	citizens	the legal rights	1	3
ba03.0024.01	Brown	1960	A03	Press	of	the 58th precinct of the 23d ward	the 23d ward	the 58th precinct	3	3
ba03.0028.03	Brown	1960	A03	Press	of	the Criminal court of Cook county	Cook county	the Criminal court	2	3
ba03.0028.05	Brown	1960	A03	Press	of	the authority of that court	that court	the authority	2	2
ba03.0028.06	Brown	1960	A03	Press	of	the function of this court	this court	the function	2	2
ba03.0030.01	Brown	1960	A03	Press	of	complementary miscount of the vote	the vote	complementary miscount	2	2
ba03.0031.01	Brown	1960	A03	Press	of	the 33d , 24th , and 42d precincts of the 31st ward	the 31st ward	the 33d , 24th , and 42d precincts	3	8
ba03.0031.02	Brown	1960	A03	Press	of	the 21st and 28th precincts of the 29th ward	the 29th ward	the 21st and 28th precincts	3	5
ba03.0031.03	Brown	1960	A03	Press	of	the 18th precinct of the 4th ward	the 4th ward	the 18th precinct	3	3
ba03.0031.04	Brown	1960	A03	Press	of	the 9th precinct of the 23d ward	the 23d ward	the 9th precinct	3	3
ba03.0032.01	Brown	1960	A03	Press	of	The case of the judges in the 58th precinct of the 23d ward	the judges in the 58th precinct of the 23d ward	The case	8	2
ba03.0032.02	Brown	1960	A03	Press	of	the 58th precinct of the 23d ward	the 23d ward	the 58th precinct	3	3
ba03.0035.01	Brown	1960	A03	Press	of	the hospital and some other medical bills of 14.2 million Americans over 65 who are covered by social security or railroad retirement programs	14.2 million Americans over 65 who are covered by social security or railroad retirement programs	the hospital and some other medical bills	8	7
ba03.0048.01	Brown	1960	A03	Press	of	full payment of hospital bills	hospital bills	full payment	2	2
ba03.0049.01	Brown	1960	A03	Press	of	full payment of nursing home bills	nursing home bills	full payment	3	2
ba03.0055.02	Brown	1960	A03	Press	of	the needs of those millions who have no wish to receive care at the taxpayers' expense, but who are nevertheless staggered by the drain on their savings- or those of their children- caused by an extended hospital stay	those millions who have no wish to receive care at the taxpayers' expense, but who are nevertheless staggered by the drain on their savings -- or those of their children -- caused by an extended hospital stay	the needs	8	2
ba03.0056.01	Brown	1960	A03	Press	of	unnecessary overcrowding of our hospitals	our hospitals	unnecessary overcrowding	2	2
ba03.0062.01	Brown	1960	A03	Press	s	the President's most ambitious and costly proposals	the President's	most ambitious and costly proposals	2	5
ba03.0063.01	Brown	1960	A03	Press	s	the nation's 92 medical and 47 dental schools	the nation's	92 medical and 47 dental schools	2	6
ba03.0069.01	Brown	1960	A03	Press	of	the capacity of existing ones	existing ones	the capacity	2	2
ba03.0086.01	Brown	1960	A03	Press	s	the nation's federal housing chief	the nation's	federal housing chief	2	3
ba03.0091.02	Brown	1960	A03	Press	s	President Eisenhower's cabinet selections in 1953	President Eisenhower's	cabinet selections in 1953	2	4
ba04.0010.01	Brown	1960	A04	Press	of	the heart of this northernmost capital of the alliance	this northernmost capital of the alliance	the heart	6	2
ba04.0010.02	Brown	1960	A04	Press	of	this northernmost capital of the alliance	the alliance	this northernmost capital	2	3
ba04.0011.01	Brown	1960	A04	Press	of	the negative side of the balance sheet	the balance sheet	the negative side	3	3
ba04.0012.01	Brown	1960	A04	Press	of	the tenor of Secretary of State Dean Rusk's speeches	Secretary of State Dean Rusk's speeches	the tenor	6	2
ba04.0013.01	Brown	1960	A04	Press	s	Mr. Rusk's analysis of the various global danger points and setbacks for the West	Mr. Rusk's	analysis of the various global danger points and setbacks for the West	2	8
ba04.0015.01	Brown	1960	A04	Press	s	Mr. Rusk's personal popularity	Mr. Rusk's	personal popularity	2	2
ba04.0017.01	Brown	1960	A04	Press	of	the core of NATO	NATO	the core	1	2
ba04.0017.03	Brown	1960	A04	Press	s	the United States' profound attachment to the alliance	the United States'	profound attachment to the alliance	3	5
ba04.0019.01	Brown	1960	A04	Press	s	the secretary's greatest achievement	the secretary's	greatest achievement	2	2
ba04.0020.01	Brown	1960	A04	Press	of	the use of the Organization for Economic Cooperation and Development	the Organization for Economic Cooperation and Development	the use	7	2
ba04.0021.02	Brown	1960	A04	Press	s	the alliance's most difficult problems	the alliance's	most difficult problems	2	3
ba04.0026.01	Brown	1960	A04	Press	of	the aid of the neutral countries attending the Geneva conference	the neutral countries attending the Geneva conference	the aid	7	2
ba04.0030.02	Brown	1960	A04	Press	of	the modifications of policy on Laos	policy on Laos	the modifications	3	2
ba04.0035.01	Brown	1960	A04	Press	s	President Kennedy's tendency to be too conciliatory	President Kennedy's	tendency to be too conciliatory	2	5
ba04.0040.01	Brown	1960	A04	Press	of	the wisdom of administration policies	administration policies	the wisdom	2	2
ba04.0048.02	Brown	1960	A04	Press	of	the formative period of the administration	the administration	the formative period	2	3
ba04.0063.01	Brown	1960	A04	Press	of	the statement of Senator J. W. Fulbright (D) of Arkansas , chairman of the Senate Foreign Relations Committee	Senator J. W. Fulbright ( D ) of Arkansas, chairman of the Senate Foreign Relations Committee	the statement	8	2
ba04.0065.01	Brown	1960	A04	Press	of	the rapid growth of juvenile delinquency	juvenile delinquency	the rapid growth	2	3
ba04.0066.02	Brown	1960	A04	Press	of	the vitality of the nation	the nation	the vitality	2	2
ba04.0067.02	Brown	1960	A04	Press	s	the President's committee on Juvenile Delinquency and Crime	the President's	committee on Juvenile Delinquency and Crime	2	6
ba04.0068.01	Brown	1960	A04	Press	of	the support and cooperation of Congress	Congress	the support and cooperation	1	4
ba04.0070.02	Brown	1960	A04	Press	of	executive director of the new Committee on Juvenile Delinquency and Youth Crime	the new Committee on Juvenile Delinquency and Youth Crime	executive director	8	2
ba05.0004.01	Brown	1960	A05	Press	s	the state's general treasurer	the state's	general treasurer	2	2
ba05.0006.01	Brown	1960	A05	Press	s	the nation's civil defense program	the nation's	civil defense program	2	3
ba05.0015.02	Brown	1960	A05	Press	of	the Riverside section of the city	the city	the Riverside section	2	3
ba05.0016.01	Brown	1960	A05	Press	of	the present status of civil defense in the city	civil defense in the city	the present status	5	3
ba05.0025.01	Brown	1960	A05	Press	of	the next session of the General Assembly	the General Assembly	the next session	3	3
ba05.0026.01	Brown	1960	A05	Press	s	The governor's move into the so-called blue law controversy	The governor's	move into the so-called blue law controversy	2	7
ba05.0029.03	Brown	1960	A05	Press	of	the next session of the legislature	the legislature	the next session	2	3
ba05.0032.01	Brown	1960	A05	Press	of	the views of the general public and religious , labor and special-interest groups affected by these laws	the general public and religious, labor and special-interest groups affected by these laws	the views	8	2
ba05.0043.01	Brown	1960	A05	Press	of	the more limited but vital shopping needs of the community	the community	the more limited but vital shopping needs	2	7
ba05.0055.01	Brown	1960	A05	Press	of	vice president of the American Screw Co.	the American Screw Co.	vice president	4	2
ba05.0059.01	Brown	1960	A05	Press	of	the signatures of more than 1,700 Johnston taxpayers	more than 1,700 Johnston taxpayers	the signatures	5	2
ba05.0060.05	Brown	1960	A05	Press	of	the suggestion of Council President Raymond Fortin Sr	Council President Raymond Fortin Sr	the suggestion	5	2
ba05.0061.01	Brown	1960	A05	Press	of	the chairman of the board of canvassers	the board of canvassers	the chairman	4	2
ba05.0062.02	Brown	1960	A05	Press	of	possible election of a nine member charter commission	a nine member charter commission	possible election	5	2
ba05.0075.01	Brown	1960	A05	Press	s	the town's insurgent Democratic leadership	the town's	insurgent Democratic leadership	2	3
ba05.0077.02	Brown	1960	A05	Press	of	the real meaning of a home rule charter	a home rule charter	the real meaning	4	3
ba05.0081.01	Brown	1960	A05	Press	of	the last session of the General Assembly	the General Assembly	the last session	3	3
ba06.0001.02	Brown	1960	A06	Press	of	the carcass of Eisenhower Republicanism	Eisenhower Republicanism	the carcass	2	2
ba06.0005.01	Brown	1960	A06	Press	of	the apparent intention of the Republican Party	the Republican Party	the apparent intention	3	3
ba06.0012.01	Brown	1960	A06	Press	of	the closeness of the outcome	the outcome	the closeness	2	2
ba06.0012.02	Brown	1960	A06	Press	s	last fall's Presidential election	last fall's	Presidential election	2	2
ba06.0018.01	Brown	1960	A06	Press	of	the continuance of railroad passenger service	railroad passenger service	the continuance	3	2
ba06.0018.02	Brown	1960	A06	Press	of	the proper uses of surplus funds of the Port of New York Authority	surplus funds of the Port of New York Authority	the proper uses	8	3
ba06.0019.01	Brown	1960	A06	Press	of	the high rate of unemployment	unemployment	the high rate	1	3
ba06.0023.01	Brown	1960	A06	Press	of	the centralization of government	government	the centralization	1	2
ba06.0027.02	Brown	1960	A06	Press	of	discredited carcass or tattered remains of the president's leadership	the president's leadership	discredited carcass or tattered remains	3	5
ba06.0027.07	Brown	1960	A06	Press	of	the peace-loving intentions of the free nations	the free nations	the peace-loving intentions	3	3
ba06.0038.02	Brown	1960	A06	Press	of	the glow of Sen. Case's candidacy of last year	Sen. Case's candidacy of last year	the glow	6	2
ba06.0040.03	Brown	1960	A06	Press	of	state chairman of the Republican Women for Jones Committee	the Republican Women for Jones Committee	state chairman	6	2
ba06.0047.01	Brown	1960	A06	Press	of	The candidacy of Mayor James J. Sheeran of West Orange	Mayor James J. Sheeran of West Orange	The candidacy	7	2
ba06.0066.02	Brown	1960	A06	Press	s	the Republicans' feeble attack on the Meyner administration	the Republicans'	feeble attack on the Meyner administration	2	6
ba06.0068.01	Brown	1960	A06	Press	of	the courageous actions of President Kennedy	President Kennedy	the courageous actions	2	3
ba06.0070.01	Brown	1960	A06	Press	of	the bloodstream of New Jersey	New Jersey	the bloodstream	2	2
ba06.0073.01	Brown	1960	A06	Press	s	Gov. Meyner's Green Acres plan for saving large tracts of open land from the onrush of urban development	Gov. Meyner's	Green Acres plan for saving large tracts of open land from the onrush of urban development	2	8
ba07.0002.01	Brown	1960	A07	Press	s	the Mayor's reported plan	the Mayor's	reported plan	2	2
ba07.0004.01	Brown	1960	A07	Press	s	the Mayor's efforts to name his own running mates without consulting the leaders	the Mayor's	efforts to name his own running mates without consulting the leaders	2	8
ba07.0007.01	Brown	1960	A07	Press	of	the confidence of the Democratic rank and file in the city	the Democratic rank and file in the city	the confidence	8	2
ba07.0008.02	Brown	1960	A07	Press	of	the weakness of his performance as Mayor	his performance as Mayor	the weakness	4	2
ba07.0011.01	Brown	1960	A07	Press	of	the good of the party	the party	the good	2	2
ba07.0014.01	Brown	1960	A07	Press	s	the Bronx leader's assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket	the Bronx leader's	assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket	3	8
ba07.0018.04	Brown	1960	A07	Press	s	yesterday's New York Times	yesterday's	New York Times	1	3
ba07.0028.01	Brown	1960	A07	Press	of	the locale of Edwin O'Connor's novel , The Last Hurrah	Edwin O'Connor's novel, The Last Hurrah	the locale	6	2
ba07.0032.02	Brown	1960	A07	Press	of	the ethical climate of his home state	his home state	the ethical climate	3	3
ba07.0039.01	Brown	1960	A07	Press	s	the Administration's housing bill	the Administration's	housing bill	2	2
ba07.0071.01	Brown	1960	A07	Press	of	the expansive mood of the successful banker	the successful banker	the expansive mood	3	3
ba07.0072.02	Brown	1960	A07	Press	of	the twenty under-developed countries of Asia , Africa and Latin America	Asia, Africa and Latin America	the twenty under-developed countries	5	4
ba07.0077.03	Brown	1960	A07	Press	of	the distribution of professional posts at the United Nations	professional posts at the United Nations	the distribution	6	2
ba07.0078.01	Brown	1960	A07	Press	of	the staff and operation of the United Nations	the United Nations	the staff and operation	3	4
ba07.0084.02	Brown	1960	A07	Press	s	the organization's ninety-nine members	the organization's	ninety-nine members	2	2
ba07.0087.01	Brown	1960	A07	Press	of	the three leaders of Laos	Laos	the three leaders	1	3
ba07.0090.02	Brown	1960	A07	Press	of	the nineteenth plenary session of the fourteen-nation conference on the future of Laos	the fourteen-nation conference on the future of Laos	the nineteenth plenary session	8	4
ba07.0090.03	Brown	1960	A07	Press	of	the future of Laos	Laos	the future	1	2
ba07.0093.03	Brown	1960	A07	Press	s	France's Foreign Minister	France's	Foreign Minister	1	2
ba07.0093.04	Brown	1960	A07	Press	s	Canada's Minister of External Affairs	Canada's	Minister of External Affairs	1	4
ba07.0094.01	Brown	1960	A07	Press	of	The pace of the talks	the talks	The pace	2	2
ba07.0095.01	Brown	1960	A07	Press	s	Prince Souvanna Phouma's young daughter	Prince Souvanna Phouma's	young daughter	3	2
ba08.0001.02	Brown	1960	A08	Press	of	promotion manager of The Times-Picayune Publishing Company	The Times-Picayune Publishing Company	promotion manager	4	2
ba08.0013.03	Brown	1960	A08	Press	s	the United States government's tremendous buildings	the United States government's	tremendous buildings	4	2
ba08.0014.01	Brown	1960	A08	Press	of	the most famous address of the free world	the free world	the most famous address	3	4
ba08.0020.03	Brown	1960	A08	Press	s	this country's most valuable records	this country's	most valuable records	2	3
ba08.0022.01	Brown	1960	A08	Press	of	the center of Pennsylvania	Pennsylvania	the center	1	2
ba08.0028.02	Brown	1960	A08	Press	of	the respective states of the President and of Vice-President L. B. Johnson	the President and of Vice-President L. B. Johnson	the respective states	8	3
ba08.0033.01	Brown	1960	A08	Press	s	the state's immediate political future	the state's	immediate political future	2	3
ba08.0034.01	Brown	1960	A08	Press	of	the unpredictability of the man who operates the helm of the state government and is the elected leader of its two million inhabitants- Gov. Ross Barnett	the man who operates the helm of the state government and is the elected leader of its two million inhabitants -- Gov. Ross Barnett	the unpredictability	8	2
ba08.0034.02	Brown	1960	A08	Press	of	the helm of the state government	the state government	the helm	3	2
ba08.0034.03	Brown	1960	A08	Press	of	the elected leader of its two million inhabitants-	its two million inhabitants	the elected leader	4	3
ba08.0045.02	Brown	1960	A08	Press	s	the state's congressional districts	the state's	congressional districts	2	2
ba08.0047.01	Brown	1960	A08	Press	s	Mississippi's relations with the national Democratic party	Mississippi's	relations with the national Democratic party	1	6
ba08.0050.01	Brown	1960	A08	Press	of	the titular head of the Democratic party	the Democratic party	the titular head	3	3
ba08.0055.01	Brown	1960	A08	Press	s	the governor's theme of peace and harmony	the governor's	theme of peace and harmony	2	5
ba08.0055.02	Brown	1960	A08	Press	of	the governor's theme of peace and harmony	peace and harmony	the governor's theme	3	3
ba08.0060.01	Brown	1960	A08	Press	of	the tardiness of the administration	the administration	the tardiness	2	2
ba08.0061.01	Brown	1960	A08	Press	s	the administration's curious position on the sales tax	the administration's	curious position on the sales tax	2	6
ba08.0063.01	Brown	1960	A08	Press	of	The effectiveness of the governor	the governor	The effectiveness	2	2
ba08.0075.01	Brown	1960	A08	Press	of	the views of one leader	one leader	the views	2	2
ba08.0079.01	Brown	1960	A08	Press	of	the fiscal session of the Legislature	the Legislature	the fiscal session	2	3
ba08.0084.01	Brown	1960	A08	Press	of	the spring session of the state Legislature	the state Legislature	the spring session	3	3
ba09.0003.01	Brown	1960	A09	Press	of	the legitimate bids of competing contractors	competing contractors	the legitimate bids	2	3
ba09.0005.01	Brown	1960	A09	Press	s	The Controller's charge of rigging	The Controller's	charge of rigging	2	3
ba09.0023.01	Brown	1960	A09	Press	s	Berger's decision to sue for the full amount of the performance bond	Berger's	decision to sue for the full amount of the performance bond	1	8
ba09.0034.02	Brown	1960	A09	Press	s	City Council's Finance Committee	City Council's	Finance Committee	2	2
ba09.0039.01	Brown	1960	A09	Press	of	The cost of a license	a license	The cost	2	2
ba09.0045.01	Brown	1960	A09	Press	s	the city's services to animal care	the city's	services to animal care	2	4
ba09.0047.01	Brown	1960	A09	Press	s	the city's contributions for animal care	the city's	contributions for animal care	2	4
ba09.0051.01	Brown	1960	A09	Press	of	the widow of the man killed last Nov. 1 by Barnard's hit-run car	the man killed last Nov. 1 by Barnard's hit-run car	the widow	8	2
ba09.0051.02	Brown	1960	A09	Press	s	Barnard's hit-run car	Barnard's	hit-run car	1	2
ba09.0056.02	Brown	1960	A09	Press	of	the circulation of petitions	petitions	the circulation	1	2
ba09.0061.01	Brown	1960	A09	Press	s	the Redevelopment Authority's master plan	the Redevelopment Authority's	master plan	3	2
ba09.0066.02	Brown	1960	A09	Press	of	the center of the entire two-and-a-half-mile length of the project	the entire two-and-a-half-mile length of the project	the center	7	2
ba09.0066.03	Brown	1960	A09	Press	of	the entire two-and-a-half-mile length of the project	the project	the entire two-and-a-half-mile length	2	4
ba09.0067.01	Brown	1960	A09	Press	of	the center of the development	the development	the center	2	2
ba09.0069.01	Brown	1960	A09	Press	of	the president of the Kansas City local of the International Association of Fire Fighters	the Kansas City local of the International Association of Fire Fighters	the president	8	2
ba09.0072.02	Brown	1960	A09	Press	of	the driveway of his home	his home	the driveway	2	2
ba09.0076.01	Brown	1960	A09	Press	of	the hood of the car	the car	the hood	2	2
ba09.0076.02	Brown	1960	A09	Press	of	the roof of the house	the house	the roof	2	2
ba09.0082.03	Brown	1960	A09	Press	s	his union's battle against the teamsters , which began organizing city firemen in 1959	his union's	battle against the teamsters	2	4
ba10.0007.01	Brown	1960	A10	Press	s	the council's annual meeting	the council's	annual meeting	2	2
ba10.0018.01	Brown	1960	A10	Press	of	the exported goods of the country	the country	the exported goods	2	3
ba10.0019.01	Brown	1960	A10	Press	of	the total income of one country	one country	the total income	2	3
ba10.0020.01	Brown	1960	A10	Press	s	Portland's civil defense	Portland's	civil defense	1	2
ba10.0033.01	Brown	1960	A10	Press	of	the statewide meeting of war mothers	war mothers	the statewide meeting	2	3
ba10.0045.01	Brown	1960	A10	Press	of	executive secretary of the Democratic Party of Oregon	the Democratic Party of Oregon	executive secretary	5	2
ba10.0054.03	Brown	1960	A10	Press	of	the 29th general council of the Assemblies of God	the Assemblies of God	the 29th general council	4	4
ba10.0058.02	Brown	1960	A10	Press	of	the great truths of the Bible	the Bible	the great truths	2	3
ba10.0060.03	Brown	1960	A10	Press	of	the revelation of God	God	the revelation	1	2
ba10.0060.04	Brown	1960	A10	Press	of	the infallible , authoritative rule of faith and conduct	faith and conduct	the infallible , authoritative rule	3	5
ba10.0061.02	Brown	1960	A10	Press	of	the sinless life of Christ	Christ	the sinless life	1	3
ba10.0061.07	Brown	1960	A10	Press	of	the right hand of God	God	the right hand	1	3
ba10.0062.02	Brown	1960	A10	Press	of	general superintendent of Assemblies of God	Assemblies of God	general superintendent	3	2
ba10.0066.01	Brown	1960	A10	Press	of	national secretary of the home missions department	the home missions department	national secretary	4	2
ba10.0074.01	Brown	1960	A10	Press	s	the church's ability to change her methods	the church's	ability to change her methods	2	5
ba10.0074.04	Brown	1960	A10	Press	of	the challenge of this hour	this hour	the challenge	2	2
ba10.0079.01	Brown	1960	A10	Press	s	Portland's insurance fraud trial	Portland's	insurance fraud trial	1	3
ba11.0009.01	Brown	1960	A11	Press	of	the start of the ninth	the ninth	the start	2	2
ba11.0009.03	Brown	1960	A11	Press	s	Frank Cipriani's single under Shortstop Jerry Adair's glove into center	Frank Cipriani's	single under Shortstop Jerry Adair's glove into center	2	8
ba11.0015.01	Brown	1960	A11	Press	s	the Orioles' last two safeties	the Orioles'	last two safeties	2	3
ba11.0021.03	Brown	1960	A11	Press	s	Kunkel's wild pitch into the dirt in front of the plate	Kunkel's	wild pitch into the dirt in front of the plate	1	8
ba11.0027.01	Brown	1960	A11	Press	s	Hyde's next toss	Hyde's	next toss	1	2
ba11.0031.01	Brown	1960	A11	Press	s	Tuttle's 390-foot homer	Tuttle's	390-foot homer	1	2
ba11.0033.01	Brown	1960	A11	Press	of	the flavor of Baltimore's Florida Grapefruit League news	Baltimore's Florida Grapefruit League news	the flavor	5	2
ba11.0033.04	Brown	1960	A11	Press	s	the Army's military training program	the Army's	military training program	2	3
ba11.0034.02	Brown	1960	A11	Press	s	the Birds' spring squad	the Birds'	spring squad	2	2
ba11.0035.03	Brown	1960	A11	Press	s	the winless Birds' sixth setback in a row	the winless Birds'	sixth setback in a row	3	5
ba11.0042.02	Brown	1960	A11	Press	of	the opening tomorrow night of a two-game weekend series with the New York Yankees	a two-game weekend series with the New York Yankees	the opening tomorrow night	8	4
ba11.0043.01	Brown	1960	A11	Press	s	the Flock's veteran knuckleball specialists	the Flock's	veteran knuckleball specialists	2	3
ba11.0044.01	Brown	1960	A11	Press	s	the Yanks' Auburn ( N.Y. ) farm club of the Class-D New York-Pennsylvania League	the Yanks'	Auburn ( N.Y. ) farm club of the Class-D New York-Pennsylvania League	2	8
ba11.0044.02	Brown	1960	A11	Press	of	the Yanks' Auburn ( N.Y. ) farm club of the Class-D New York-Pennsylvania League	the Class-D New York-Pennsylvania League	the Yanks' Auburn ( N.Y. ) farm club	5	8
ba11.0045.01	Brown	1960	A11	Press	s	the Bombers' Art Ditmar	the Bombers'	Art Ditmar	2	2
ba11.0048.02	Brown	1960	A11	Press	s	the Army's accelerated wintertime military course	the Army's	accelerated wintertime military course	2	4
ba11.0050.01	Brown	1960	A11	Press	s	Baltimore's bulky spring-training contingent	Baltimore's	bulky spring-training contingent	1	3
ba11.0053.01	Brown	1960	A11	Press	s	Robinson's pretty wife	Robinson's	pretty wife	1	2
ba11.0054.02	Brown	1960	A11	Press	of	the seven-hit pitching of three Kansas City rookie hurlers	three Kansas City rookie hurlers	the seven-hit pitching	5	3
ba11.0056.02	Brown	1960	A11	Press	of	the wing of the plane	the plane	the wing	2	2
ba11.0057.01	Brown	1960	A11	Press	s	the American League's 1961 expansion to the West Coast	the American League's	1961 expansion to the West Coast	3	6
ba11.0067.02	Brown	1960	A11	Press	s	Purdue's Dave Mills	Purdue's	Dave Mills	1	2
ba11.0068.02	Brown	1960	A11	Press	s	Mills's early pace	Mills's	early pace	1	2
ba11.0073.01	Brown	1960	A11	Press	of	final indoor meet of the season	the season	final indoor meet	2	3
ba11.0077.02	Brown	1960	A11	Press	of	the last game of the 1960 season	the 1960 season	the last game	3	3
ba12.0004.02	Brown	1960	A12	Press	of	the most valuable members of the Longhorn team that will be heavily favored Saturday over Oklahoma in the Cotton Bowl	the Longhorn team that will be heavily favored Saturday over Oklahoma in the Cotton Bowl	the most valuable members	8	4
ba12.0013.01	Brown	1960	A12	Press	of	the thigh of his right ( kicking ) leg	his right ( kicking ) leg	the thigh	6	2
ba12.0034.01	Brown	1960	A12	Press	s	the conference's top four in rushing	the conference's	top four in rushing	2	4
ba12.0043.01	Brown	1960	A12	Press	of	the defensive performances of end Happy Nelson and halfback Billy Gannon	end Happy Nelson and halfback Billy Gannon	the defensive performances	7	3
ba12.0049.01	Brown	1960	A12	Press	s	the Falcons' aerial thrusts	the Falcons'	aerial thrusts	2	2
ba12.0054.01	Brown	1960	A12	Press	s	The Air Force's , and the game's , final play	The Air Force's, and the game's	, and the game's , final play	6	7
ba12.0060.01	Brown	1960	A12	Press	of	the second play of the game	the game	the second play	2	3
ba12.0069.01	Brown	1960	A12	Press	s	Texas Tech's sweat-suits drill	Texas Tech's	sweat-suits drill	2	2
ba12.0069.02	Brown	1960	A12	Press	s	the Raiders' 38-7 loss to Texas A&M	the Raiders'	38-7 loss to Texas A & M	2	7
ba12.0070.01	Brown	1960	A12	Press	s	the Owl's game with LSU	the Owl's	game with LSU	2	3
ba12.0075.02	Brown	1960	A12	Press	s	the game's greatest collectors of quarterbacks	the game's	greatest collectors of quarterbacks	2	4
ba12.0089.01	Brown	1960	A12	Press	s	Denver's Al Carmichael	Denver's	Al Carmichael	1	2
ba12.0093.01	Brown	1960	A12	Press	s	Texas' 545-yard spree against Washington State	Texas'	545-yard spree against Washington State	1	5
ba12.0098.01	Brown	1960	A12	Press	of	the liveliness of baseballs currently in use	baseballs currently in use	the liveliness	4	2
ba13.0003.01	Brown	1960	A13	Press	s	Nischwitz' third straight victory of the new season	Nischwitz's	third straight victory of the new season	1	7
